Name,Location,Founded,Employees,About,Skills,Link
Botminds AI - Sr. Machine Learning Engineer,Job available in Chennai,2015,125,"Botminds is an AI-driven document automation platform enabling enterprises to efficiently capture, search, analyze, and automate document and web data, partnering with Microsoft, Cognizant, SLK and more.","['Machine Learning', 'NLP']",https://www.instahyre.com/job-294237-sr-machine-learning-engineer-at-botminds-ai-chennai/
Digit Insurance - Engineering Manager,Job available in Work From Home,2016,750,"Digit is a general insurance company that offers simplified general insurance products like insurance for cars, mobile handsets, travel, and jewelry, keeping the whole insurance process easy and hassle-free.","['Flutter', 'Java', 'AWS']",https://www.instahyre.com/job-294197-engineering-manager-at-digit-insurance-work-from-home/
E2open - Lead Data Engineer,Job available in Hyderabad,2000,1000,"E2open aims to create a more connected, intelligent supply chain with sensing and responding to real-time demand, supply and delivery constraints, specializing in inventory optimization, demand planning, etc.","['PySpark', 'SQL', 'Azure Data Factory', 'Data Analysis']",https://www.instahyre.com/job-294373-lead-data-engineer-at-e2open-hyderabad/
ExcelR - Freelance Technical Trainer - Data Science,Job available in Mumbai,2013,350,ExcelR is an ed-tech platform providing various career-oriented courses in technical and management domains across 40+ countries with course videos on YouTube and knowledge-sharing webinars led by industry experts.,"['Computer Vision', 'Machine Learning', 'NLP', '+2', 'Scikit-learn', 'TensorFlow']",https://www.instahyre.com/job-294401-freelance-technical-trainer-data-science-at-excelr-mumbai/
Fairmatic - Senior Software Engineer (Level - III) - Backend,Job available in Bangalore,2019,125,Fairmatic is a performance-priced commercial auto insurance provider that encourages customers to be safer on road by rewarding safe driving and giving real-time visibility into unsafe driving behaviors.,"['Django', 'Flask', 'AWS', 'PostgreSQL']",https://www.instahyre.com/job-294402-senior-software-engineer-level-iii-backend-at-fairmatic-bangalore/
GoComet - Lead Backend Engineer,Job available in Bangalore,2016,125,GoComet is a leading Logistics Management Platform (LRM) platform used by enterprises to make freight procurement and delivery efficient and fast.,"['Architecture', 'Spring', 'Java']",https://www.instahyre.com/job-294253-lead-backend-engineer-at-gocomet-3-bangalore/
GTEN:Global Technology Experts - Java Developer,Job available in Work From Home,2010,125,"GTEN is a global digital transformation consulting firm providing solutions like full-stack development, test automation, product engineering, managed services, etc. serving healthcare, BFSI, and other sectors.","['Java', 'J2EE', 'Spring']",https://www.instahyre.com/job-294211-java-developer-at-gtenglobal-technology-experts-work-from-home/
Infinite Computer Solutions - SDET,Job available in Bangalore,1999,1000,"Infinite Computer Solutions provides technology solutions to Gortune 1000 companies, specializing in the Healthcare, Banking & Finance, Telecommunications & Technology and Media & Publishing industries.","['Automation Testing', 'Java', 'JavaScript', 'Android']",https://www.instahyre.com/job-294305-sdet-at-infinite-computer-solutions-3-bangalore/
interface.ai - SDE II / SDE I - Engineering Delivery,Job available in Work From Home,2019,125,"interface.ai is a software development and intelligent virtual assistant-powered company that helps customers in their banking journey while offering automation, implementation, and many such services.",['Node.js'],https://www.instahyre.com/job-294386-sde-ii-sde-i-engineering-delivery-at-interface-work-from-home/
Khatabook - Senior Backend Engineer - 3,Job available in Bangalore,2018,125,Khatabook is an Internet based company that offers a platform for shop owners to record credit and debit transactions for their trusted customers. It is a digital ledger to manage businesses.,"['Java', 'Node.js']",https://www.instahyre.com/job-294174-senior-backend-engineer-3-at-khatabook-bangalore/
Meesho - Data Scientist,Job available in Bangalore,2015,750,"Meesho is a mobile store builder which allows merchants to create online store and share products on multiple social media platforms. Founding team from Inmobi, Sony and IIT Delhi.","['Machine Learning', 'SQL']",https://www.instahyre.com/job-294163-data-scientist-at-meesho-bangalore/
Novo - Data Analyst,Job available in Bangalore,2016,125,"Novo is a banking platform that helps companies, entrepreneurs, and freelancers by providing better business deposit accounts and tools to link accounts, pay bills, process ACH transfers, and deposit checks.",['SQL'],https://www.instahyre.com/job-294406-data-analyst-at-novo-bangalore/
